"year_month","CustomerID","recency","frequency","monetary","r_score","f_score","m_score"
"2010-12","12447","9999","0","0","1","1","1"
"2010-12","12448","9999","0","0","1","1","1"
"2010-12","12449","9999","0","0","1","1","1"
"2010-12","12450","9999","0","0","1","1","1"
"2010-12","12451","9999","0","0","1","1","1"
"2010-12","12452","9999","0","0","1","1","1"
"2010-12","12453","9999","0","0","1","1","1"
"2010-12","12454","9999","0","0","1","1","1"
"2010-12","12455","9999","0","0","1","1","1"
"2010-12","12456","9999","0","0","1","1","1"
"2010-12","12457","9999","0","0","1","1","1"
"2010-12","12458","9999","0","0","1","1","1"
"2010-12","12461","9999","0","0","1","1","1"
"2010-12","12462","9999","0","0","1","1","1"
"2010-12","12463","9999","0","0","1","1","1"
"2010-12","12464","9999","0","0","1","1","1"
"2010-12","12465","9999","0","0","1","1","1"
"2010-12","12468","9999","0","0","1","1","1"
"2010-12","12471","13","4","3874.36","5","5","5"
"2010-12","12472","25","1","1631.3","4","5","5"
"2010-12","12473","9999","0","0","1","1","1"
"2010-12","12474","9999","0","0","1","1","1"
"2010-12","12475","9999","0","0","1","1","1"
"2010-12","12476","17","1","12.45","5","3","3"
"2010-12","12477","9999","0","0","1","1","1"
"2010-12","12478","9999","0","0","1","1","1"
"2010-12","12479","9999","0","0","1","1","1"
"2010-12","12480","9999","0","0","1","1","1"
"2010-12","12481","10","2","791.34","5","5","5"
"2010-12","12483","9999","0","0","1","1","1"
"2010-12","12484","9999","0","0","1","1","1"
"2010-12","12488","9999","0","0","1","1","1"
"2010-12","12489","9999","0","0","1","1","1"
"2010-12","12490","9999","0","0","1","1","1"
"2010-12","12491","9999","0","0","1","1","1"
"2010-12","12492","9999","0","0","1","1","1"
"2010-12","12493","9999","0","0","1","1","1"
"2010-12","12494","14","2","62.55","5","5","3"
"2010-12","12497","9999","0","0","1","1","1"
"2010-12","12498","9999","0","0","1","1","1"
"2010-12","12500","9999","0","0","1","1","1"
"2010-12","12501","9999","0","0","1","1","1"
"2010-12","12502","9999","0","0","1","1","1"
"2010-12","12504","9999","0","0","1","1","1"
"2010-12","12506","9999","0","0","1","1","1"
"2010-12","12507","9999","0","0","1","1","1"
"2010-12","12508","9999","0","0","1","1","1"
"2010-12","12509","9999","0","0","1","1","1"
"2010-12","12510","9999","0","0","1","1","1"
"2010-12","12512","9999","0","0","1","1","1"
"2010-12","12513","9999","0","0","1","1","1"
"2010-12","12514","9999","0","0","1","1","1"
"2010-12","12515","9","1","383.7","5","4","4"
"2010-12","12516","9999","0","0","1","1","1"
"2010-12","12517","9999","0","0","1","1","1"
"2010-12","12518","9999","0","0","1","1","1"
"2010-12","12519","9999","0","0","1","1","1"
"2010-12","12520","9999","0","0","1","1","1"
"2010-12","12521","9999","0","0","1","1","1"
"2010-12","12522","9999","0","0","1","1","1"
"2010-12","12523","9999","0","0","1","1","1"
"2010-12","12524","9999","0","0","1","1","1"
"2010-12","12526","9999","0","0","1","1","1"
"2010-12","12527","9999","0","0","1","1","1"
"2010-12","12528","9999","0","0","1","1","1"
"2010-12","12530","9999","0","0","1","1","1"
"2010-12","12531","9999","0","0","1","1","1"
"2010-12","12532","9999","0","0","1","1","1"
"2010-12","12534","9999","0","0","1","1","1"
"2010-12","12535","9999","0","0","1","1","1"
"2010-12","12536","9999","0","0","1","1","1"
"2010-12","12538","9999","0","0","1","1","1"
"2010-12","12539","9999","0","0","1","1","1"
"2010-12","12540","17","1","881.01","5","4","5"
"2010-12","12541","9999","0","0","1","1","1"
"2010-12","12544","9999","0","0","1","1","1"
"2010-12","12545","9999","0","0","1","1","1"
"2010-12","12546","9999","0","0","1","1","1"
"2010-12","12547","9999","0","0","1","1","1"
"2010-12","12548","9999","0","0","1","1","1"
"2010-12","12550","9999","0","0","1","1","1"
"2010-12","12551","13","1","168","5","4","4"
"2010-12","12552","9999","0","0","1","1","1"
"2010-12","12553","9999","0","0","1","1","1"
"2010-12","12556","9999","0","0","1","1","1"
"2010-12","12557","27","1","620","4","4","5"
"2010-12","12558","9999","0","0","1","1","1"
"2010-12","12559","9999","0","0","1","1","1"
"2010-12","12560","9999","0","0","1","1","1"
"2010-12","12561","9999","0","0","1","1","1"
"2010-12","12562","9999","0","0","1","1","1"
"2010-12","12564","9999","0","0","1","1","1"
"2010-12","12565","9999","0","0","1","1","1"
"2010-12","12566","9999","0","0","1","1","1"
"2010-12","12567","23","2","1942.38","4","5","5"
"2010-12","12569","9999","0","0","1","1","1"
"2010-12","12571","9999","0","0","1","1","1"
"2010-12","12572","9999","0","0","1","1","1"
"2010-12","12573","9999","0","0","1","1","1"
"2010-12","12574","9999","0","0","1","1","1"
"2010-12","12576","9999","0","0","1","1","1"
"2010-12","12577","15","1","195.89","5","4","4"
"2010-12","12578","9999","0","0","1","1","1"
"2010-12","12579","9999","0","0","1","1","1"
"2010-12","12580","9999","0","0","1","1","1"
"2010-12","12581","9999","0","0","1","1","1"
"2010-12","12582","9999","0","0","1","1","1"
"2010-12","12583","29","1","855.86","4","4","5"
"2010-12","12584","9999","0","0","1","1","1"
"2010-12","12585","7","1","1262.85","5","5","5"
"2010-12","12586","9999","0","0","1","1","1"
"2010-12","12587","9999","0","0","1","1","1"
"2010-12","12588","9999","0","0","1","1","1"
"2010-12","12589","9999","0","0","1","1","1"
"2010-12","12590","9999","0","0","1","1","1"
"2010-12","12591","9999","0","0","1","1","1"
"2010-12","12592","9999","0","0","1","1","1"
"2010-12","12593","9999","0","0","1","1","1"
"2010-12","12594","9999","0","0","1","1","1"
"2010-12","12596","9999","0","0","1","1","1"
"2010-12","12597","9999","0","0","1","1","1"
"2010-12","12598","9999","0","0","1","1","1"
"2010-12","12599","9999","0","0","1","1","1"
"2010-12","12600","13","2","274.8","5","5","4"
"2010-12","12601","9999","0","0","1","1","1"
"2010-12","12602","9999","0","0","1","1","1"
"2010-12","12603","9999","0","0","1","1","1"
"2010-12","12604","9999","0","0","1","1","1"
"2010-12","12607","9999","0","0","1","1","1"
"2010-12","12609","9999","0","0","1","1","1"
"2010-12","12610","9999","0","0","1","1","1"
"2010-12","12611","9999","0","0","1","1","1"
"2010-12","12612","9999","0","0","1","1","1"
"2010-12","12613","9999","0","0","1","1","1"
"2010-12","12614","9999","0","0","1","1","1"
"2010-12","12615","9999","0","0","1","1","1"
"2010-12","12616","9999","0","0","1","1","1"
"2010-12","12617","9999","0","0","1","1","1"
"2010-12","12618","9999","0","0","1","1","1"
"2010-12","12619","9999","0","0","1","1","1"
"2010-12","12620","9999","0","0","1","1","1"
"2010-12","12621","13","2","1383.65","5","5","5"
"2010-12","12622","9999","0","0","1","1","1"
"2010-12","12623","9999","0","0","1","1","1"
"2010-12","12624","9999","0","0","1","1","1"
"2010-12","12625","9999","0","0","1","1","1"
"2010-12","12626","9999","0","0","1","1","1"
"2010-12","12627","9999","0","0","1","1","1"
"2010-12","12628","9999","0","0","1","1","1"
"2010-12","12630","9999","0","0","1","1","1"
"2010-12","12631","9999","0","0","1","1","1"
"2010-12","12633","9999","0","0","1","1","1"
"2010-12","12635","9999","0","0","1","1","1"
"2010-12","12637","9999","0","0","1","1","1"
"2010-12","12638","9999","0","0","1","1","1"
"2010-12","12639","9999","0","0","1","1","1"
"2010-12","12640","9999","0","0","1","1","1"
"2010-12","12641","9999","0","0","1","1","1"
"2010-12","12642","9999","0","0","1","1","1"
"2010-12","12643","9999","0","0","1","1","1"
"2010-12","12644","9999","0","0","1","1","1"
"2010-12","12645","9999","0","0","1","1","1"
"2010-12","12646","9999","0","0","1","1","1"
"2010-12","12647","13","4","1193.6","5","5","5"
"2010-12","12648","9999","0","0","1","1","1"
"2010-12","12649","9999","0","0","1","1","1"
"2010-12","12650","9999","0","0","1","1","1"
"2010-12","12651","9999","0","0","1","1","1"
"2010-12","12652","9999","0","0","1","1","1"
"2010-12","12653","9999","0","0","1","1","1"
"2010-12","12654","9999","0","0","1","1","1"
"2010-12","12656","9999","0","0","1","1","1"
"2010-12","12657","9999","0","0","1","1","1"
"2010-12","12658","9999","0","0","1","1","1"
"2010-12","12659","9999","0","0","1","1","1"
"2010-12","12660","9999","0","0","1","1","1"
"2010-12","12662","29","1","261.48","4","4","4"
"2010-12","12664","9999","0","0","1","1","1"
"2010-12","12665","9999","0","0","1","1","1"
"2010-12","12667","9999","0","0","1","1","1"
"2010-12","12668","11","1","469.87","5","4","4"
"2010-12","12669","9999","0","0","1","1","1"
"2010-12","12670","9999","0","0","1","1","1"
"2010-12","12672","9999","0","0","1","1","1"
"2010-12","12673","9999","0","0","1","1","1"
"2010-12","12674","9999","0","0","1","1","1"
"2010-12","12676","9999","0","0","1","1","1"
"2010-12","12678","9","2","221.28","5","5","4"
"2010-12","12679","9999","0","0","1","1","1"
"2010-12","12680","9999","0","0","1","1","1"
"2010-12","12681","10","2","2118.11","5","5","5"
"2010-12","12682","21","2","1075.29","4","5","5"
"2010-12","12683","21","2","1063.08","4","5","5"
"2010-12","12684","9999","0","0","1","1","1"
"2010-12","12685","9999","0","0","1","1","1"
"2010-12","12686","27","1","89.14","4","3","3"
"2010-12","12688","9999","0","0","1","1","1"
"2010-12","12689","9999","0","0","1","1","1"
"2010-12","12690","9999","0","0","1","1","1"
"2010-12","12691","13","1","180","5","4","4"
"2010-12","12693","9999","0","0","1","1","1"
"2010-12","12694","9999","0","0","1","1","1"
"2010-12","12695","9999","0","0","1","1","1"
"2010-12","12697","9999","0","0","1","1","1"
"2010-12","12700","9999","0","0","1","1","1"
"2010-12","12701","9999","0","0","1","1","1"
"2010-12","12702","9999","0","0","1","1","1"
"2010-12","12703","9999","0","0","1","1","1"
"2010-12","12704","9999","0","0","1","1","1"
"2010-12","12705","13","1","858","5","4","5"
"2010-12","12707","9999","0","0","1","1","1"
"2010-12","12708","24","1","196.44","4","4","4"
"2010-12","12709","13","2","1315.69","5","5","5"
"2010-12","12710","9999","0","0","1","1","1"
"2010-12","12712","21","2","470.63","4","5","4"
"2010-12","12713","9999","0","0","1","1","1"
"2010-12","12714","9999","0","0","1","1","1"
"2010-12","12715","9999","0","0","1","1","1"
"2010-12","12716","9999","0","0","1","1","1"
"2010-12","12717","9999","0","0","1","1","1"
"2010-12","12718","9999","0","0","1","1","1"
"2010-12","12719","9999","0","0","1","1","1"
"2010-12","12720","13","2","657.13","5","5","5"
"2010-12","12721","10","1","286.6","5","4","4"
"2010-12","12722","9999","0","0","1","1","1"
"2010-12","12723","9999","0","0","1","1","1"
"2010-12","12724","9999","0","0","1","1","1"
"2010-12","12725","27","1","427.8","4","4","4"
"2010-12","12726","13","1","170.28","5","4","4"
"2010-12","12727","9999","0","0","1","1","1"
"2010-12","12728","9999","0","0","1","1","1"
"2010-12","12729","9999","0","0","1","1","1"
"2010-12","12731","20","1","1071.9","5","4","5"
"2010-12","12732","9999","0","0","1","1","1"
"2010-12","12733","9999","0","0","1","1","1"
"2010-12","12734","8","1","110.39999999999999","5","3","3"
"2010-12","12735","9999","0","0","1","1","1"
"2010-12","12736","9999","0","0","1","1","1"
"2010-12","12738","28","1","155.35","4","4","4"
"2010-12","12739","9999","0","0","1","1","1"
"2010-12","12740","9999","0","0","1","1","1"
"2010-12","12743","9999","0","0","1","1","1"
"2010-12","12744","9999","0","0","1","1","1"
"2010-12","12747","17","2","706.27","5","5","5"
"2010-12","12748","7","35","4228.13","5","5","5"
"2010-12","12749","9999","0","0","1","1","1"
"2010-12","12750","9999","0","0","1","1","1"
"2010-12","12752","9999","0","0","1","1","1"
"2010-12","12753","18","1","3590.59","5","5","5"
"2010-12","12754","9999","0","0","1","1","1"
"2010-12","12755","21","1","3794.3999999999996","4","5","5"
"2010-12","12756","9999","0","0","1","1","1"
"2010-12","12757","9999","0","0","1","1","1"
"2010-12","12758","9999","0","0","1","1","1"
"2010-12","12759","9999","0","0","1","1","1"
"2010-12","12762","9999","0","0","1","1","1"
"2010-12","12763","25","1","320.08","4","4","4"
"2010-12","12764","9999","0","0","1","1","1"
"2010-12","12766","22","1","1149.29","4","5","5"
"2010-12","12769","9999","0","0","1","1","1"
"2010-12","12770","9999","0","0","1","1","1"
"2010-12","12772","9999","0","0","1","1","1"
"2010-12","12775","9999","0","0","1","1","1"
"2010-12","12778","9999","0","0","1","1","1"
"2010-12","12779","27","1","248.16","4","4","4"
"2010-12","12781","9999","0","0","1","1","1"
"2010-12","12782","13","1","463.5","5","4","4"
"2010-12","12783","9999","0","0","1","1","1"
"2010-12","12784","9999","0","0","1","1","1"
"2010-12","12785","20","1","311.95","5","4","4"
"2010-12","12787","9999","0","0","1","1","1"
"2010-12","12789","9999","0","0","1","1","1"
"2010-12","12790","9999","0","0","1","1","1"
"2010-12","12791","29","1","192.60000000000002","4","4","4"
"2010-12","12792","9999","0","0","1","1","1"
"2010-12","12793","27","1","131.8","4","3","3"
"2010-12","12794","9999","0","0","1","1","1"
"2010-12","12795","9999","0","0","1","1","1"
"2010-12","12797","21","1","254.03","4","4","4"
"2010-12","12798","9999","0","0","1","1","1"
"2010-12","12802","9999","0","0","1","1","1"
"2010-12","12808","24","1","129.4","4","3","3"
"2010-12","12809","9999","0","0","1","1","1"
"2010-12","12811","9999","0","0","1","1","1"
"2010-12","12812","9999","0","0","1","1","1"
"2010-12","12814","9999","0","0","1","1","1"
"2010-12","12815","9999","0","0","1","1","1"
"2010-12","12816","9999","0","0","1","1","1"
"2010-12","12817","9999","0","0","1","1","1"
"2010-12","12818","9999","0","0","1","1","1"
"2010-12","12820","9999","0","0","1","1","1"
"2010-12","12821","9999","0","0","1","1","1"
"2010-12","12822","9999","0","0","1","1","1"
"2010-12","12823","9999","0","0","1","1","1"
"2010-12","12824","9999","0","0","1","1","1"
"2010-12","12826","21","1","155","4","4","4"
"2010-12","12827","9999","0","0","1","1","1"
"2010-12","12828","9999","0","0","1","1","1"
"2010-12","12829","16","1","85.75","5","3","3"
"2010-12","12830","9999","0","0","1","1","1"
"2010-12","12831","9999","0","0","1","1","1"
"2010-12","12832","9999","0","0","1","1","1"
"2010-12","12833","9999","0","0","1","1","1"
"2010-12","12834","9999","0","0","1","1","1"
"2010-12","12836","9999","0","0","1","1","1"
"2010-12","12837","9999","0","0","1","1","1"
"2010-12","12838","29","1","390.79","4","4","4"
"2010-12","12839","13","2","737.45","5","5","5"
"2010-12","12840","9999","0","0","1","1","1"
"2010-12","12841","25","2","505.99","4","5","5"
"2010-12","12842","9999","0","0","1","1","1"
"2010-12","12843","9999","0","0","1","1","1"
"2010-12","12844","9999","0","0","1","1","1"
"2010-12","12845","9999","0","0","1","1","1"
"2010-12","12847","9999","0","0","1","1","1"
"2010-12","12849","9999","0","0","1","1","1"
"2010-12","12851","9999","0","0","1","1","1"
"2010-12","12852","9999","0","0","1","1","1"
"2010-12","12853","9999","0","0","1","1","1"
"2010-12","12854","9999","0","0","1","1","1"
"2010-12","12855","28","1","38.1","4","3","3"
"2010-12","12856","9999","0","0","1","1","1"
"2010-12","12857","9999","0","0","1","1","1"
"2010-12","12863","9999","0","0","1","1","1"
"2010-12","12864","9999","0","0","1","1","1"
"2010-12","12865","9999","0","0","1","1","1"
"2010-12","12866","9999","0","0","1","1","1"
"2010-12","12867","16","1","362.79","5","4","4"
"2010-12","12868","29","1","203.3","4","4","4"
"2010-12","12871","9999","0","0","1","1","1"
"2010-12","12872","21","1","378.53000000000003","4","4","4"
"2010-12","12873","9999","0","0","1","1","1"
"2010-12","12875","18","1","293.76000000000005","5","4","4"
"2010-12","12876","9999","0","0","1","1","1"
"2010-12","12877","14","1","150.06","5","4","4"
"2010-12","12878","9999","0","0","1","1","1"
"2010-12","12879","9999","0","0","1","1","1"
"2010-12","12881","9999","0","0","1","1","1"
"2010-12","12882","9999","0","0","1","1","1"
"2010-12","12883","9999","0","0","1","1","1"
"2010-12","12884","9999","0","0","1","1","1"
"2010-12","12885","9999","0","0","1","1","1"
"2010-12","12886","9999","0","0","1","1","1"
"2010-12","12888","9999","0","0","1","1","1"
"2010-12","12890","9999","0","0","1","1","1"
"2010-12","12891","9999","0","0","1","1","1"
"2010-12","12893","9999","0","0","1","1","1"
"2010-12","12895","9999","0","0","1","1","1"
"2010-12","12897","9999","0","0","1","1","1"
"2010-12","12901","9999","0","0","1","1","1"
"2010-12","12902","9999","0","0","1","1","1"
"2010-12","12904","9999","0","0","1","1","1"
"2010-12","12906","9999","0","0","1","1","1"
"2010-12","12908","9999","0","0","1","1","1"
"2010-12","12909","9999","0","0","1","1","1"
"2010-12","12910","9999","0","0","1","1","1"
"2010-12","12912","9999","0","0","1","1","1"
"2010-12","12913","24","1","417.62","4","4","4"
"2010-12","12915","28","1","199.65","4","4","4"
"2010-12","12916","9999","0","0","1","1","1"
"2010-12","12917","9999","0","0","1","1","1"
"2010-12","12919","9999","0","0","1","1","1"
"2010-12","12920","9999","0","0","1","1","1"
"2010-12","12921","22","2","687.8000000000001","4","5","5"
"2010-12","12922","9999","0","0","1","1","1"
"2010-12","12923","9999","0","0","1","1","1"
"2010-12","12924","9999","0","0","1","1","1"
"2010-12","12925","9999","0","0","1","1","1"
"2010-12","12928","15","1","392.34000000000003","5","4","4"
"2010-12","12929","9999","0","0","1","1","1"
"2010-12","12930","9999","0","0","1","1","1"
"2010-12","12931","13","2","177","5","5","4"
"2010-12","12933","9999","0","0","1","1","1"
"2010-12","12935","9999","0","0","1","1","1"
"2010-12","12936","9999","0","0","1","1","1"
"2010-12","12937","9999","0","0","1","1","1"
"2010-12","12938","9999","0","0","1","1","1"
"2010-12","12939","9999","0","0","1","1","1"
"2010-12","12940","9999","0","0","1","1","1"
"2010-12","12942","21","1","258.75","4","4","4"
"2010-12","12944","10","1","286.95","5","4","4"
"2010-12","12945","9999","0","0","1","1","1"
"2010-12","12947","29","1","304.04","4","4","4"
"2010-12","12948","9999","0","0","1","1","1"
"2010-12","12949","9999","0","0","1","1","1"
"2010-12","12950","9999","0","0","1","1","1"
"2010-12","12951","9999","0","0","1","1","1"
"2010-12","12952","9999","0","0","1","1","1"
"2010-12","12953","9999","0","0","1","1","1"
"2010-12","12955","9999","0","0","1","1","1"
"2010-12","12956","9999","0","0","1","1","1"
"2010-12","12957","9999","0","0","1","1","1"
"2010-12","12962","9999","0","0","1","1","1"
"2010-12","12963","21","1","365.8","4","4","4"
"2010-12","12965","9999","0","0","1","1","1"
"2010-12","12966","9999","0","0","1","1","1"
"2010-12","12967","14","2","1660.9","5","5","5"
"2010-12","12968","9999","0","0","1","1","1"
"2010-12","12970","9999","0","0","1","1","1"
"2010-12","12971","9","5","436.19","5","5","4"
"2010-12","12974","9999","0","0","1","1","1"
"2010-12","12976","9999","0","0","1","1","1"
"2010-12","12977","9999","0","0","1","1","1"
"2010-12","12980","14","1","889.32","5","4","5"
"2010-12","12981","9999","0","0","1","1","1"
"2010-12","12982","9999","0","0","1","1","1"
"2010-12","12984","9999","0","0","1","1","1"
"2010-12","12985","9999","0","0","1","1","1"
"2010-12","12987","9999","0","0","1","1","1"
"2010-12","12988","9999","0","0","1","1","1"
"2010-12","12989","20","1","202.5","5","4","4"
"2010-12","12990","9999","0","0","1","1","1"
"2010-12","12991","9999","0","0","1","1","1"
"2010-12","12993","9999","0","0","1","1","1"
"2010-12","12994","9999","0","0","1","1","1"
"2010-12","12995","9999","0","0","1","1","1"
"2010-12","12997","9999","0","0","1","1","1"
"2010-12","12999","9999","0","0","1","1","1"
"2010-12","13000","20","1","201.75","5","4","4"
"2010-12","13001","9999","0","0","1","1","1"
"2010-12","13002","9999","0","0","1","1","1"
"2010-12","13003","9999","0","0","1","1","1"
"2010-12","13004","13","1","357.01","5","4","4"
"2010-12","13005","9999","0","0","1","1","1"
"2010-12","13006","9999","0","0","1","1","1"
"2010-12","13008","9999","0","0","1","1","1"
"2010-12","13011","28","1","50.550000000000004","4","3","3"
"2010-12","13012","9999","0","0","1","1","1"
"2010-12","13013","27","2","1528.3400000000001","4","5","5"
"2010-12","13014","9999","0","0","1","1","1"
"2010-12","13015","9999","0","0","1","1","1"
"2010-12","13016","9999","0","0","1","1","1"
"2010-12","13017","9999","0","0","1","1","1"
"2010-12","13018","9999","0","0","1","1","1"
"2010-12","13021","14","1","157.35","5","4","4"
"2010-12","13023","9999","0","0","1","1","1"
"2010-12","13026","9999","0","0","1","1","1"
"2010-12","13027","10","1","1440","5","5","5"
"2010-12","13028","9999","0","0","1","1","1"
"2010-12","13029","9","1","382.5","5","4","4"
"2010-12","13030","24","1","427.74","4","4","4"
"2010-12","13032","9999","0","0","1","1","1"
"2010-12","13033","13","1","190.55","5","4","4"
"2010-12","13034","25","1","165.86","4","4","4"
"2010-12","13035","9999","0","0","1","1","1"
"2010-12","13037","9999","0","0","1","1","1"
"2010-12","13038","9999","0","0","1","1","1"
"2010-12","13040","9999","0","0","1","1","1"
"2010-12","13043","9999","0","0","1","1","1"
"2010-12","13044","9999","0","0","1","1","1"
"2010-12","13045","9999","0","0","1","1","1"
"2010-12","13046","9999","0","0","1","1","1"
"2010-12","13047","29","3","366.63","4","5","4"
"2010-12","13048","9999","0","0","1","1","1"
"2010-12","13049","9999","0","0","1","1","1"
"2010-12","13050","10","4","1199.8700000000001","5","5","5"
"2010-12","13052","9999","0","0","1","1","1"
"2010-12","13055","9999","0","0","1","1","1"
"2010-12","13058","9999","0","0","1","1","1"
"2010-12","13059","9999","0","0","1","1","1"
"2010-12","13060","9999","0","0","1","1","1"
"2010-12","13061","9999","0","0","1","1","1"
"2010-12","13062","9999","0","0","1","1","1"
"2010-12","13064","9999","0","0","1","1","1"
"2010-12","13065","29","1","205.86","4","4","4"
"2010-12","13066","9999","0","0","1","1","1"
"2010-12","13067","9999","0","0","1","1","1"
"2010-12","13068","9999","0","0","1","1","1"
"2010-12","13069","17","4","644.12","5","5","5"
"2010-12","13070","9999","0","0","1","1","1"
"2010-12","13072","9999","0","0","1","1","1"
"2010-12","13075","9999","0","0","1","1","1"
"2010-12","13077","22","1","313.72","4","4","4"
"2010-12","13078","15","2","881.16","5","5","5"
"2010-12","13079","9999","0","0","1","1","1"
"2010-12","13080","9999","0","0","1","1","1"
"2010-12","13081","27","2","2366.78","4","5","5"
"2010-12","13082","9999","0","0","1","1","1"
"2010-12","13083","9999","0","0","1","1","1"
"2010-12","13085","9999","0","0","1","1","1"
"2010-12","13089","14","8","5953.21","5","5","5"
"2010-12","13090","21","3","1008.4","4","5","5"
"2010-12","13091","9999","0","0","1","1","1"
"2010-12","13092","15","1","185.45","5","4","4"
"2010-12","13093","14","3","3795.5099999999998","5","5","5"
"2010-12","13094","24","1","223.68","4","4","4"
"2010-12","13095","9999","0","0","1","1","1"
"2010-12","13097","16","1","304.90000000000003","5","4","4"
"2010-12","13098","9999","0","0","1","1","1"
"2010-12","13099","9999","0","0","1","1","1"
"2010-12","13101","9999","0","0","1","1","1"
"2010-12","13102","16","2","673.92","5","5","5"
"2010-12","13103","9999","0","0","1","1","1"
"2010-12","13104","10","1","101.76","5","3","3"
"2010-12","13106","9999","0","0","1","1","1"
"2010-12","13107","9999","0","0","1","1","1"
"2010-12","13108","28","1","350.06","4","4","4"
"2010-12","13109","9999","0","0","1","1","1"
"2010-12","13110","9999","0","0","1","1","1"
"2010-12","13113","22","1","372.96999999999997","4","4","4"
"2010-12","13115","9999","0","0","1","1","1"
"2010-12","13116","9999","0","0","1","1","1"
"2010-12","13117","21","2","388.15","4","5","4"
"2010-12","13118","9999","0","0","1","1","1"
"2010-12","13120","9999","0","0","1","1","1"
"2010-12","13121","9999","0","0","1","1","1"
"2010-12","13122","9999","0","0","1","1","1"
"2010-12","13124","15","1","1256.32","5","5","5"
"2010-12","13126","22","2","223.44","4","5","4"
"2010-12","13127","9999","0","0","1","1","1"
"2010-12","13130","9999","0","0","1","1","1"
"2010-12","13131","9999","0","0","1","1","1"
"2010-12","13132","9999","0","0","1","1","1"
"2010-12","13133","9999","0","0","1","1","1"
"2010-12","13134","9999","0","0","1","1","1"
